Source_Username,Source_Platform(s),Total_Posts,Final_Discord_ID
Mrblonde,Discord-Archive,26618,479362336264683520
jets5704,Discord-Archive,25970,294464443570454528
Deleted User,Discord-Archive,17529,456226577798135808
Goddess,Discord-Archive,17178,549657242170032154
HydroP,Discord-Archive,16948,215178132431306752
ZoZferatu,Discord-Archive,15475,479727224312954881
thirdrock,"Discord-Archive, Forum-Post",10782,212714551081304064
Genesis,"Discord-Archive, Forum-Post",8761,213337264162340864
Ordos,Discord-Archive,8472,216918396539764737
Melvin85,Discord-Archive,8043,336188557561430017
The_Unknown,"Discord-Archive, Discourse-Post",7884,479197632074612736
KT,Discord-Archive,7823,406342456896913410
rizzy,Discord-Archive,7398,530928652053905409
Arby3,"Discord-Archive, Forum-Post",6924,220666545544626177
Panda,Discord-Archive,6773,220142891027136512
You_Fool,"Discord-Archive, Discourse-Post, Forum-Post",6510,225405842235719680
MrStemo,Discord-Archive,6401,304645907150929921
TBO,Discord-Archive,6204,213099890111152129
luker8969,Discord-Archive,6071,273060101252710402
Nolio,"Discord-Archive, Forum-Post",5264,216218329960939521
Torqez,"Discord-Archive, Forum-Post",4399,214524354258534401
FoohonPie,Discord-Archive,4399,188520252387229696
panniknloozit,Discord-Archive,4190,211585628695953409
melsfreefallin,Discord-Archive,3874,386804810617323531
RandO,Discord-Archive,2510,219134698708926464
Dukey,Discord-Archive,2493,268817441881194496
Lee0160,Discord-Archive,2358,562745184375275535
Jets,"Discord-Archive, Discourse-Post",2307,139146807472160768
MagicMellor,Discord-Archive,1971,278942054887849984
SEXTANS,Discord-Archive,1675,317468579433938944
Gimmix,Discord-Archive,1519,191389994915594240
Neek,Discord-Archive,1463,191375094218620929
Player1,Discord-Archive,1385,566633524585824266
Evulution,Discord-Archive,1255,318155764332101632
Aries1986,Discord-Archive,1182,323618971305902081
Miqdad,Discord-Archive,947,130281442012823552
MeisterWhiff,Discord-Archive,888,299568534001025026
shanenami,Discord-Archive,789,391795978518396928
Rivan,Discord-Archive,585,477547900662972418
Spartan Legion,Discord-Archive,576,300762711942496268
Elrohir,Forum-Post,524,
{Sexy}EvilRunt,Forum-Post,492,
Undeath,Forum-Post,437,
__tif__,Discord-Archive,435,373364111032975371
Life,Discord-Archive,417,258319551073091584
Einstein,Forum-Post,382,
Gwynedd,Forum-Post,377,
Walking Corpse,"Discord-Archive, Forum-Post",362,98260473664790528
evilrunt,Discord-Archive,345,"572957043665666062,279328512220069889"
MTG_Dad,Discord-Archive,338,467135324703686672
Skyroshroud,"Discord-Archive, Forum-Post",333,166087201564786690
[PW9]~KT~,Forum-Post,310,
Rev,Discourse-Post,308,
KromarfKrom,Discourse-Post,308,
TheBigOne,Forum-Post,300,
BUD777,Discord-Archive,300,291293257810575360
Oxygen,Forum-Post,288,
[TI] arsbury,Forum-Post,282,
[TI] Primo,Forum-Post,275,
[TI] Wendy,Forum-Post,256,
Wild Flower Soul,Forum-Post,256,
[TI]  The_Unknown,Forum-Post,252,
Dirty Iluvatar,Forum-Post,246,
Apoc,Discord-Archive,245,331386442116759552
Ps,Forum-Post,241,
sCriv,Discourse-Post,231,
MEMEGA,Discourse-Post,231,
system,Discourse-Post,231,
Darrk,Discourse-Post,231,
Prince Charming,Forum-Post,224,
™Darrk,Discord-Archive,203,110925985800536064
[TI] ARFeh zee Frenchie,Forum-Post,194,
RisingDown,Forum-Post,193,
Warsie,Discord-Archive,192,474860560144400384
Logger,Discord-Archive,190,327424261180620801
Satanic Spawn,Forum-Post,187,
Ramza Beoulve,Forum-Post,185,
Poley,Forum-Post,185,
Bird Flu,Forum-Post,176,
The Yell,Forum-Post,173,
Rchie,Forum-Post,161,
[RPA] Arocalex,Forum-Post,159,
Scorp-Raptor,Discord-Archive,159,212974715138998272
Keerb,Forum-Post,156,
I_like_pie,Discourse-Post,154,
Sumeridan,Discourse-Post,154,
Dronze,Discourse-Post,154,
lifegain,Discourse-Post,154,
Gladiator,Forum-Post,153,
Lynns,Forum-Post,146,
The Great Eye,Forum-Post,135,
Maarten,Forum-Post,135,
Alundra,Forum-Post,134,
Evil Jets,Forum-Post,131,
[RPA] Eltara,Forum-Post,131,
[TI] Sitting Duck,Forum-Post,123,
SSL,Forum-Post,121,
